mass_A
t	x	y
1.410000000E1	-1.534193556E-1	-8.246439179E-3
1.413333333E1	-1.534233229E-1	-8.241233717E-3
1.416666667E1	-1.534415427E-1	-8.250216435E-3
1.420000000E1	-1.534594246E-1	-8.252320405E-3
1.423333333E1	-1.534651234E-1	-8.251610534E-3
1.426666667E1	-1.534704935E-1	-8.250235249E-3
1.430000000E1	-1.534863219E-1	-8.251192524E-3
1.433333333E1	-1.534915439E-1	-8.247362230E-3
1.436666667E1	-1.535123919E-1	-8.249050974E-3
1.440000000E1	-1.535338292E-1	-8.253814829E-3
1.443333333E1	-1.535592256E-1	-8.242291310E-3
1.446666667E1	-1.535588649E-1	-8.251904757E-3
1.450000000E1	-1.535777095E-1	-8.243820255E-3
1.453333333E1	-1.536328657E-1	-8.248841802E-3
1.456666667E1	-1.535902365E-1	-8.242165292E-3
1.460000000E1	-1.535841644E-1	-8.247590868E-3
1.463333333E1	-1.535809209E-1	-8.235321449E-3
1.466666667E1	-1.535894960E-1	-8.255007797E-3
1.470000000E1	-1.535656465E-1	-8.235536485E-3
1.473333333E1	-1.535421224E-1	-8.246408821E-3
1.476666667E1	-1.535118167E-1	-8.248006841E-3
1.480000000E1	-1.535103457E-1	-8.250975970E-3
1.483333333E1	-1.534933571E-1	-8.243730919E-3
1.486666667E1	-1.534807828E-1	-8.252330825E-3
1.490000000E1	-1.534718326E-1	-8.247573531E-3
1.493333333E1	-1.534592827E-1	-8.251484763E-3
1.496666667E1	-1.534545409E-1	-8.242166141E-3
1.500000000E1	-1.534264247E-1	-8.247947775E-3
1.503333333E1	-1.534437221E-1	-8.251793371E-3
1.506666667E1	-1.534352904E-1	-8.252511858E-3
1.510000000E1	-1.534034029E-1	-8.241081102E-3
1.513333333E1	-1.533795823E-1	-8.245360075E-3
1.516666667E1	-1.533327721E-1	-8.237291961E-3
1.520000000E1	-1.533266750E-1	-8.232779016E-3
1.523333333E1	-1.533514081E-1	-8.241480113E-3
1.526666667E1	-1.533592966E-1	-8.246443254E-3
1.530000000E1	-1.533727104E-1	-8.243044000E-3
1.533333333E1	-1.533944158E-1	-8.249048054E-3
1.536666667E1	-1.533895230E-1	-8.246258727E-3
1.540000000E1	-1.534052687E-1	-8.247089909E-3
1.543333333E1	-1.534188170E-1	-8.246899792E-3
1.546666667E1	-1.534321275E-1	-8.241006621E-3
1.550000000E1	-1.545015437E-1	-2.886832396E-3
1.553333333E1	-1.544522766E-1	-2.826106112E-3
1.556666667E1	-1.544517897E-1	-2.864190171E-3
1.560000000E1	-1.544536161E-1	-2.821892215E-3
1.563333333E1	-1.544614326E-1	-2.810788086E-3
1.566666667E1	-1.544373520E-1	-2.856457681E-3
1.570000000E1	-1.544294853E-1	-2.872111600E-3
1.573333333E1	-1.544132024E-1	-2.878282064E-3
1.576666667E1	-1.544285799E-1	-2.895889154E-3
1.580000000E1	-1.544268240E-1	-2.920749823E-3
1.583333333E1	-1.544159722E-1	-2.925551874E-3
1.586666667E1	-1.544296278E-1	-2.889739207E-3
1.590000000E1	-1.543971316E-1	-2.915810455E-3
1.593333333E1	-1.544046869E-1	-2.873092247E-3
1.596666667E1	-1.544387196E-1	-2.883251171E-3
1.600000000E1	-1.544419797E-1	-2.878267773E-3
1.603333333E1	-1.544023873E-1	-2.930220500E-3
1.606666667E1	-1.544240781E-1	-2.911930450E-3
1.610000000E1	-1.544115884E-1	-2.901941369E-3
1.613333333E1	-1.544360615E-1	-2.889208921E-3
1.616666667E1	-1.544037562E-1	-2.914863079E-3
1.620000000E1	-1.544169450E-1	-2.897438391E-3
1.623333333E1	-1.544145172E-1	-2.910948642E-3
1.626666667E1	-1.544024080E-1	-2.889444517E-3
1.630000000E1	-1.544156658E-1	-2.903113572E-3
1.633333333E1	-1.544087946E-1	-2.869677435E-3
1.636666667E1	-1.544405066E-1	-2.827222297E-3
1.640000000E1	-1.544264240E-1	-2.860909223E-3
1.643333333E1	-1.544145709E-1	-2.880167223E-3
1.646666667E1	-1.543871419E-1	-2.864157045E-3
1.650000000E1	-1.543918703E-1	-2.895593164E-3
1.656666667E1	-1.541918532E-1	-2.534837667E-3
1.660000000E1	-1.518252222E-1	-2.740294468E-3
1.663333333E1	-1.475666739E-1	-2.399148456E-3
1.670000000E1	-1.338964715E-1	-2.479364646E-3
